Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,1702.944,3514.7286999999997,43879.69,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 8, Peak: 64, Duration of peak: 8 Hr 30 Min)), Data transfer cost (2662.31), Advance EC2 instance (t3.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  Full upfront)"
My Estimate,US East (N. Virginia),S3 Standard,0,50.7,608.40,USD,S3 Standard storage (1500 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,2662.31,31947.72,USD,"Data Transfer, Data transfer cost (2662.31)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,989.76,11877.12,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,18502,1558.41,37202.92,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (db.r5.4xlarge), Additional backup storage (30 GB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
